2025,761
2024,3883
2023,15838
2022,34072
2021,34710
2020,28137
2019,30581
2018,28625
2017,29166
2016,29730
2015,31175
2014,28783
2013,30001
2012,31088
2011,35705
2010,41071
2009,52401
2008,41054
2007,30848
2006,27934
2005,24532
2004,22213
2003,17518
2002,15438
2001,15516
2000,13953
1999,
1998,
1997,
1996,10885
1995,10680
1994,9944
1993,
1992,
1991,
1990,
1989,
1988,
1987,
1986,
1985,
1984,
1983,
1982,
1981,
1980,
1979,
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
