Title,Authors,Year of Publication,DOI
Digital Twin-Enhanced Incident Response for Cyber-Physical Systems,"Allison, Smith, Mclaughlin",2023,https://doi.org/10.1145/3600160.3600195
CPS-IoT Week '23: Proceedings of Cyber-Physical Systems and Internet of Things Week 2023,No authors,2023,
A New Layer Structure of Cyber-Physical Systems under the Era of Digital Twin,"Qian, Guo",2024,https://doi.org/10.1145/3674974
Experimentation and Implementation of the BFT++ Cyber-Attack Resilience Mechanism for Cyber-Physical Systems,"Keppler, Karim",2024,https://doi.org/10.1145/3639570
SaT-CPS '24: Proceedings of the 2024 ACM Workshop on Secure and Trustworthy Cyber-Physical Systems,"Gupta, Abdelsalam",2024,
"A References Architecture for Human Cyber Physical Systems, Part II: Fundamental Design Principles for Human-CPS Interaction","Bengler, Damm, Luedtke",2024,https://doi.org/10.1145/3622880
A Survey on Cyber-Resilience Approaches for Cyber-Physical Systems,"Segovia-Ferreira, Rubio-Hernan",2024,https://doi.org/10.1145/3652953
Resilience and Complexity in Socio-Cyber-Physical Systems,"Szabo, Castro",2024,
SEA4DQ 2023: Proceedings of the 3rd International Workshop on Software Engineering and AI for Data Quality in Cyber-Physical Systems/Internet of Things,"Khomh, Chatterjee",2023,
SEA4DQ 2022: Proceedings of the 2nd International Workshop on Software Engineering and AI for Data Quality in Cyber-Physical Systems/Internet of Things,"Nguyen, Sen",2022,
Edge Computing for Cyber-physical Systems: A Systematic Mapping Study Emphasizing Trustworthiness,Sánchez,2022,https://doi.org/10.1145/3539662
Trust-but-Verify in Cyber-Physical Systems,Perumalla,2021,https://doi.org/10.1145/3445969.3450434
A Security Cost Modelling Framework for Cyber-Physical Systems,"Ivkić, Sailer",2022,https://doi.org/10.1145/3450752
ICCPS '23: Proceedings of the ACM/IEEE 14th International Conference on Cyber-Physical Systems (with CPS-IoT Week 2023),"Mitra, Venkatasubramanian",2023,
Vulnerability management digital twin for energy systems,"Heluany, Goetzfried",2024,https://doi.org/10.1145/3664476.3671013
Analyzing Cyber-Physical Systems from the Perspective of Artificial Intelligence,"Veith, Fischer",2020,https://doi.org/10.1145/3388218.3388222
"Blockchain, Internet of Things and Digital Twins in Trustless Security of Critical National Infrastructure",Hammoudeh,2021,https://doi.org/10.1145/3440749.3442650
Industrial Internet of Things Security Modelling using Ontological Methods,Jarwar,2023,https://doi.org/10.1145/3567445.3571103
Survey on Digital Twins: from concepts to applications,"Heluany, Gkioulos",2023,https://doi.org/10.1145/3600160.3605070
Employing Digital Twins for Security-by-Design System Testing,"Dietz, Hageman",2022,https://doi.org/10.1145/3510547.3517929
Software Engineering and AI for Data Quality in Cyber- Physical Systems - SEA4DQ'21 Workshop Report,"Nguyen, Sen",2022,https://doi.org/10.1145/3502771.3502781
SOAR4IoT: Securing IoT Assets with Digital Twins,"Empl, Schlette",2022,https://doi.org/10.1145/3538969.3538975
"Blockchain-Based Digital Twins: Research Trends, Issues, and Future Challenges","Suhail, Hussain",2022,https://doi.org/10.1145/3517189
A Systematic Review of Digital Twin Technology for Home Care,"Zafar, Rybarczyk, Borg",2024,https://doi.org/10.1145/3681797
Trustworthy and Efficient Digital Twins in Post-Quantum Era with Hybrid Hardware-Assisted Signatures,"Nouma, Yavuz",2024,https://doi.org/10.1145/3638250
Understanding Stakeholder Requirements for Digital Twins in Manufacturing Maintenance,Chen,2024,
Towards Concepts for Climate and Energy-Oriented Digital Twins for Buildings,Doellner,2023,https://doi.org/10.1145/3611314.3616066
A Practitioners Perspective on Addressing Cyber Security and Variability Challenges in Modern Automotive Systems,"Zellmer, Holsten",2024,https://doi.org/10.1145/3634713.3634727
IoT '23: Proceedings of the 13th International Conference on the Internet of Things,"Kawaguchi, Yasumoto",2024,
Integration of Extended Reality with a Cyber-Physical Factory Environment and its Digital Twins,"Emporio, Caputo",2024,https://doi.org/10.1145/3660246
Digital Twin Technology: Opportunities and Challenges for Smart Era's Applications,"Tyagi, Richa",2023,https://doi.org/10.1145/3607947.3608015
The Digital Twins Incident Response To Improve the Security of Power System Critical Infrastructure,"Akerele, Leppert",2023,
Detection And Mitigation Of Cyber attacks that exploit human vuLnerabilitiES (DAMOCLES 2024),"Breve, Desolda",2024,https://doi.org/10.1145/3656650.3660540
An Introduction to Digital Twin Standards,"Sun, Ma, Zhou",2022,https://doi.org/10.1145/3568113.3568119
BIOTC '23: Proceedings of the 2023 5th Blockchain and Internet of Things Conference,No authors,2023,
Exploiting Digital Twin technology for Cybersecurity Monitoring in Smart Grids,"Coppolino, Nardone",2023,https://doi.org/10.1145/3600160.3605043
Emerging Cybersecurity Capability Gaps in the Industrial Internet of Things: Overview and Research Agenda,"Axon, Fletcher",2022,https://doi.org/10.1145/3503920
"IoTAAI '23: Proceedings of the 2023 5th International Conference on Internet of Things, Automation and Artificial Intelligence",No authors,2024,
