Title,Authors,Year of Publication,DOI,Source
Cyber-Physical Systems and Digital Twins in the Industrial Internet of Things [Cyber-Physical Systems],"Koulamas, Kalogeras",2018,https://doi.org/10.1109/MC.2018.2876181,https://www.computer.org/csdl
Digital Twin-based Anomaly Detection in Cyber-physical Systems,"Xu, Ali, Yue",2021,https://doi.org/10.1109/ICST49551.2021.00031,https://www.computer.org/csdl
A Taxonomy of Security and Defense Mechanisms in Digital Twins-based Cyber-Physical Systems,"Hussaini, Qian, Liao, Yu",2022,https://doi.org/10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics55523.2022.00112,https://www.computer.org/csdl
Building Digital Twins of Cyber Physical Systems With Metaverse for Industry 5.0 and Beyond,"Jagatheesaperumal, Rahouti",2022,https://doi.org/10.1109/MITP.2022.3225064,https://www.computer.org/csdl
A Literature Review on Blockchain-enabled Security and Operation of Cyber-Physical Systems,"Khalil, Franco, Parvez, Uluagac, Shahriar, Rahman",2022,https://doi.org/10.1109/COMPSAC54236.2022.00282,https://www.computer.org/csdl
Towards Cybersecurity of the Smart Grid Using Digital Twins,"Olivares-Rojas, Reyes-Archundia, Gutiérrez-Gnecchi, Molina-Moreno, Cerda-Jacobo, Méndez-Patiño",2022,https://doi.org/10.1109/MIC.2021.3063674,https://www.computer.org/csdl
Designing Secure and Resilient Cyber-Physical Systems: A Model-Based Moving Target Defense Approach,"Casola, Benedictis, Mazzocca, Montanari",2024,https://doi.org/10.1109/TETC.2022.3197464,https://www.computer.org/csdl
On the Effectiveness of Recurrent Neural Networks for Live Modeling of Cyber-Physical Systems,"Yoginath, Tansakul, Chinthavali, Taylor, Hambrick, Irminger, Perumalla",2019,https://doi.org/10.1109/ICII.2019.00062,https://www.computer.org/csdl
"Security-Enhancing Digital Twins: Characteristics, Indicators, and Future Perspectives","Eckhart, Ekelhart, Allison, Almgren, Ceesay-Seitz, Janicke, Nadjm-Tehrani, Rashid, Yampolskiy",2023,https://doi.org/10.1109/MSEC.2023.3271225,https://www.computer.org/csdl
A Game-Theoretic Approach to Secure Estimation and Control for Cyber-Physical Systems with a Digital Twin,"Xu, Easwaran",2020,https://doi.org/10.1109/ICCPS48487.2020.00010,https://www.computer.org/csdl
Special Issue on Digital Twins - Part 1,"Saracco, Henz",2022,https://doi.org/10.1109/MIC.2021.3088318,https://www.computer.org/csdl
