title,authors,publication_year,doi,source,abstract
Digital-twin Co-evolution using Continuous Validation,"Joost Mertens, Joachim Denil",2023,10.1145/3576841.3589628,https://dl.acm.org/,
Demo: Smart Grid Cyber Twin for Cybersecurity Exercise,"Daisuke Mashima, Jit Biswas, Revati Godse, Muhammad M. Roomi, Bennet Ng",2025,10.1145/3733801.3764198,https://dl.acm.org/,
An anomaly detection framework for digital twin driven cyber-physical systems,"Chuanchao Gao, Heejong Park, Arvind Easwaran",2021,10.1145/3450267.3450533,https://dl.acm.org/,
Digital-Twin-Based Patient Evaluation during Stroke Rehabilitation,"Yilun Chen, Wentao Wang, Junyu Diao, Daoyu Wang, Zhuo Jian, Yixi Wang, Zhihao Jiang",2023,10.1145/3576841.3585923,https://dl.acm.org/,
Towards a Digital Twin Framework for Secure and Efficient Cyber-Physical Transportation Systems,"Luca Brodo, Giuseppe Scalora, Stefan Henkler",2025,10.1145/3735948.3736156,https://dl.acm.org/,
Cyber-physical Hardening of the Digital Water Infrastructure,"Ümit Cali, F. Özgur Catak, Zsolt György Balogh, Rita Ugarelli, Martin Gilje Jaatun",2023,10.1145/3590777.3591408,https://dl.acm.org/,
Digital Twin-Enhanced Incident Response for Cyber-Physical Systems,"David Allison, Paul Smith, Kieran Mclaughlin",2023,10.1145/3600160.3600195,https://dl.acm.org/,
Capturing Autonomy in its Multiple Facets: A Digital Twin Approach,"Richard Heininger, Chris Stary",2021,10.1145/3445969.3450422,https://dl.acm.org/,
Efforts Towards a Digital Twin-based Testbed for Public Safety,"Nicole Hatch, Walt Magnussen, Jian Tao",2023,10.1145/3576914.3588017,https://dl.acm.org/,
Cybersecurity in Cyber-Physical Systems: An Introduction,No authors,2025,10.1145/3731217.3731232,https://dl.acm.org/,
Securing big data and IoT networks in smart cyber-physical environments,"Sajal K. Das, Hayato Yamana",2017,10.1145/3128128.3128157,https://dl.acm.org/,
Proceedings of the 1st Workshop on Digital Twin &amp; Edge AI for Industrial IoT,No authors,2022,10.1145/3566099,https://dl.acm.org/,
A Hierarchical Digital Twin Model Framework for Dynamic Cyber-Physical System Design,"Duansen Shangguan, Liping Chen, Jianwan Ding",2019,10.1145/3314493.3314504,https://dl.acm.org/,
Digital Twin as a Proxy for Industrial Cyber-Physical Systems,"Abdullah Aziz, Olov Schelén, Ulf Bodin",2023,10.1145/3585967.3585982,https://dl.acm.org/,
Cybersecurity in Cyber-Physical Systems: Wireless Jamming Attack Detection in Noisy LoRaWAN Environment,"Xiaoyi Su, Chao Wang, Zhixin Zhou, Rui Luo",2026,10.1145/3777454,https://dl.acm.org/,"Cybersecurity in safety-critical data communication infrastructures presents a significant and open challenge for cyber-physical systems (CPS). While extensive research exists on wireless jamming, effectively detecting attacks in noisy wireless environments remains difficult. This article introduces a novel framework for detecting mobile jamming attacks in LoRaWAN-based CPS, designed to operate robustly in the presence of communication faults. Unlike traditional methods that rely on physical-layer metrics like RSSI from end devices, our strategy uses only data upload statistics available at the backend network server. We propose a multi-stage filtering approach that first identifies anomalous upload failures and then distinguishes jamming attacks from communication faults by analyzing their distinct spatio-temporal signatures. Furthermore, the framework can reconstruct the attacker’s trajectory from the identified attack events. We evaluate the proposed strategy via extensive discrete-time simulations under various network densities and attacker speeds. Results demonstrate high efficacy, achieving an F1-score of up to 1.00 for event detection and a trajectory reconstruction mean absolute error (MAE) as low as 7.07 meters in dense networks, even in the presence of faults. This work’s primary contribution is a backend-centric, fault-tolerant detection methodology that enhances situational awareness without imposing additional overhead on resource-constrained end devices."
Learning Models of Cyber-Physical Systems with Discrete and Continuous Behaviour for Digital Twin Synthesis,Felix Wallner,2024,10.1145/3639478.3639793,https://dl.acm.org/,
Applying Cybersecurity Challenges to Medical and Vehicular Cyber Physical Systems,Daniel Massey,2017,10.1145/3140368.3140379,https://dl.acm.org/,
Conformance-Driven Anomaly Detection for Cyber-Physical Systems,Xin Qin,2025,10.1145/3716550.3725168,https://dl.acm.org/,
Cybersecurity Challenges in the Offshore Oil and Gas Industry: An Industrial Cyber-Physical Systems (ICPS) Perspective,"Abubakar Sadiq Mohammed, Philipp Reinecke, Pete Burnap, Omer Rana, Eirini Anthi",2022,10.1145/3548691,https://dl.acm.org/,"There has been significant interest within the offshore oil and gas industry to utilise
            Industrial Internet of Things (IIoT)
            and
            Industrial Cyber-Physical Systems (ICPS)
            . There has also been a corresponding increase in cyberattacks targeted at oil and gas companies. Offshore oil production requires remote access to and control of large and complex hardware resources. This is achieved by integrating ICPS,
            Supervisory, Control and Data Acquisition (SCADA)
            systems, and IIoT technologies. A successful cyberattack against an
            oil and gas (O&amp;G)
            offshore asset could have a major impact on the environment, marine ecosystem and safety of personnel. Any disruption to the world’s supply of O&amp;G can also have an effect on oil prices and the global economy. We describe the cyberattack surface within the oil and gas industry, discussing emerging trends in the offshore sub-sector and provide a historical perspective of known cyberattacks. We also present a case study of a subsea control system architecture typically used in offshore O&amp;G operations and highlight potential vulnerabilities affecting the components of the system. This study is the first to provide a detailed analysis of attack vectors in a subsea control system. The analysis provided can be used to understand key vulnerabilities in such systems and may be used to implement efficient mitigation methods."
Space spider,"Jiaqi Li, Lvyang Zhang, Quan Hong, Yang Yu, Lidong Zhai",2022,10.1145/3566099.3569007,https://dl.acm.org/,
Optimal graph partitioning for time-sensitive flow scheduling towards digital twin networks,"Shuo Wang, Jonathan Kua, Jiong Jin, Ambarish Kulkarni, Prem Prakash Jayaraman, Xianghui Cao",2022,10.1145/3566099.3569003,https://dl.acm.org/,
